idJornada;idResponsable;IdTiempoRegistro;idPunto;idBocatoma;idVariable;Valor_1;Valor_2
1;1;26/02/2025 12:00;4;1;3;7.81;7.84
1;1;26/02/2025 12:00;4;1;4;140.2;141.4
1;1;26/02/2025 12:00;4;1;5;20.4;20.2
1;1;26/02/2025 12:00;4;1;6;7.64;7.7
1;1;26/02/2025 13:00;4;1;1;27.1;27.1
1;1;26/02/2025 13:00;4;1;2;71.3;71.3
1;1;26/02/2025 13:00;4;1;3;7.79;7.84
1;1;26/02/2025 13:00;4;1;4;148.7;151.0
1;1;26/02/2025 13:00;4;1;5;22.3;21.1
1;1;26/02/2025 13:00;4;1;6;7.33;7.41
1;1;26/02/2025 14:00;4;1;1;26.5;26.5
1;1;26/02/2025 14:00;4;1;2;76.6;76.6
1;1;26/02/2025 14:00;4;1;3;7.79;7.72
1;1;26/02/2025 14:00;4;1;4;140.6;142.8
1;1;26/02/2025 14:00;4;1;5;21.7;21.3
1;1;26/02/2025 14:00;4;1;6;7.22;7.37
1;1;26/02/2025 15:00;4;1;1;22.1;22.1
1;1;26/02/2025 15:00;4;1;2;90.8;90.8
1;1;26/02/2025 15:00;4;1;3;7.65;7.67
1;1;26/02/2025 15:00;4;1;4;139.2;139.9
1;1;26/02/2025 15:00;4;1;5;21.2;21.2
1;1;26/02/2025 15:00;4;1;6;7.59;7.52
1;1;26/02/2025 16:00;4;1;1;21.3;21.3
1;1;26/02/2025 16:00;4;1;2;95.3;95.3
1;1;26/02/2025 16:00;4;1;3;7.58;7.65
1;1;26/02/2025 16:00;4;1;4;83.71;83.86
1;1;26/02/2025 16:00;4;1;5;21.1;21.1
1;1;26/02/2025 16:00;4;1;6;7.84;7.81
1;1;27/02/2025 6:00;5;1;1;21.3;21.3
1;1;27/02/2025 6:00;5;1;2;90.5;90.5
1;1;27/02/2025 6:00;5;1;3;7.55;7.61
1;1;27/02/2025 6:00;5;1;4;120.2;120.7
1;1;27/02/2025 6:00;5;1;5;19.3;19.2
1;1;27/02/2025 6:00;5;1;6;7.76;7.91
1;1;27/02/2025 7:00;5;1;1;20.6;20.6
1;1;27/02/2025 7:00;5;1;2;94.9;94.9
1;1;27/02/2025 7:00;5;1;3;7.5;7.59
1;1;27/02/2025 7:00;5;1;4;108.4;108.3
1;1;27/02/2025 7:00;5;1;5;19.1;19.0
1;1;27/02/2025 7:00;5;1;6;8.0;8.0
1;1;27/02/2025 8:00;5;1;1;20.7;20.7
1;1;27/02/2025 8:00;5;1;2;96.7;96.7
1;1;27/02/2025 8:00;5;1;3;7.54;7.56
1;1;27/02/2025 8:00;5;1;4;11.6;112.1
1;1;27/02/2025 8:00;5;1;5;19.2;19.0
1;1;27/02/2025 8:00;5;1;6;8.02;8.05
